demand_id,priority,resource_type_id,warehouse_id,allocated_qty,travel_time_h,method
DEM00054,2,R16,WH001,663,1.62,fifo
DEM00051,2,R05,WH001,72,1.41,fifo
DEM00036,2,R02,WH001,40,1.53,fifo
DEM00045,2,R05,WH001,95,2.13,fifo
DEM00045,2,R05,WH002,853,2.21,fifo
DEM00041,2,R02,WH001,15,5.49,fifo
DEM00041,2,R02,WH002,5,5.5,fifo
DEM00013,2,R01,WH001,46,1.88,fifo
DEM00015,2,R01,WH001,30,1.95,fifo
DEM00027,2,R20,WH001,45,2.01,fifo
DEM00020,2,R19,WH001,6,1.99,fifo
DEM00044,2,R19,WH001,89,2.89,fifo
DEM00050,2,R16,WH001,192,1.04,fifo
DEM00049,2,R17,WH001,5,3.99,fifo
DEM00003,2,R09,WH001,462,1.62,fifo
DEM00001,2,R16,WH001,287,1.43,fifo
DEM00046,2,R01,WH001,50,1.41,fifo
DEM00022,2,R20,WH001,33,1.39,fifo
DEM00022,2,R20,WH002,2,1.55,fifo
DEM00033,2,R02,WH002,74,1.76,fifo
DEM00002,2,R19,WH001,14,2.01,fifo
DEM00002,2,R19,WH002,18,2.01,fifo
DEM00034,2,R20,WH002,75,1.9,fifo
DEM00032,2,R19,WH002,59,0.88,fifo
DEM00055,2,R16,WH001,84,2.89,fifo
DEM00038,2,R18,WH001,87,1.83,fifo
DEM00006,2,R06,WH001,522,1.9,fifo
DEM00035,2,R01,WH001,32,1.68,fifo
DEM00035,2,R01,WH002,55,1.98,fifo
DEM00037,2,R19,WH002,49,4.47,fifo
DEM00037,2,R19,WH003,22,3.95,fifo
DEM00048,2,R20,WH002,25,2.29,fifo
DEM00048,2,R20,WH003,18,3.5,fifo
DEM00023,2,R06,WH001,555,1.81,fifo
DEM00012,2,R03,WH001,81,5.72,fifo
DEM00011,2,R03,WH001,9,5.42,fifo
DEM00011,2,R03,WH002,2,5.43,fifo
DEM00053,2,R18,WH001,8,4.14,fifo
DEM00053,2,R18,WH002,61,4.3,fifo
DEM00094,2,R04,WH001,51,1.84,fifo
DEM00108,2,R06,WH001,438,2.64,fifo
DEM00083,2,R02,WH002,68,1.88,fifo
DEM00083,2,R02,WH003,9,0.75,fifo
DEM00062,2,R02,WH003,103,1.79,fifo
DEM00065,2,R09,WH001,48,1.33,fifo
DEM00070,2,R18,WH002,95,2.21,fifo
DEM00070,2,R18,WH003,15,1.99,fifo
DEM00077,2,R03,WH002,97,1.38,fifo
DEM00077,2,R03,WH003,13,1.47,fifo
DEM00102,2,R05,WH002,380,1.49,fifo
DEM00105,2,R20,WH003,31,1.11,fifo
DEM00071,2,R09,WH001,242,2.0,fifo
DEM00084,2,R05,WH002,836,1.7,fifo
DEM00084,2,R05,WH003,132,1.72,fifo
DEM00080,2,R18,WH003,48,3.65,fifo
DEM00080,2,R18,WH004,18,5.17,fifo
DEM00092,2,R16,WH001,910,1.62,fifo
DEM00067,2,R09,WH001,345,1.11,fifo
DEM00086,2,R16,WH001,68,1.55,fifo
DEM00086,2,R16,WH002,933,1.66,fifo
DEM00069,2,R09,WH001,726,1.35,fifo
DEM00111,2,R06,WH001,780,1.12,fifo
DEM00107,2,R06,WH001,198,1.33,fifo
DEM00097,2,R06,WH001,2,1.03,fifo
DEM00097,2,R06,WH002,211,1.0,fifo
DEM00113,2,R20,WH003,107,2.11,fifo
DEM00103,2,R20,WH003,20,1.31,fifo
DEM00103,2,R20,WH004,40,2.45,fifo
