demand_id,priority,resource_type_id,warehouse_id,allocated_qty,travel_time_h,method
DEM00239,1,R01,WH015,150,1.36,optimized
DEM00267,1,R01,WH024,20,2.58,optimized
DEM00267,1,R01,WH033,116,1.46,optimized
DEM00231,1,R01,WH024,21,1.37,optimized
DEM00246,1,R01,WH036,38,0.91,optimized
DEM00331,1,R01,WH001,36,1.26,optimized
DEM00331,1,R01,WH015,15,2.04,optimized
DEM00331,1,R01,WH017,3,1.68,optimized
DEM00331,1,R01,WH047,76,2.84,optimized
DEM00447,1,R01,WH053,135,1.97,optimized
DEM00412,1,R01,WH004,49,1.33,optimized
DEM00541,1,R01,WH040,47,1.2,optimized
DEM00669,1,R01,WH001,122,0.96,optimized
DEM00669,1,R01,WH002,34,1.13,optimized
DEM00675,1,R01,WH002,27,0.88,optimized
DEM00716,1,R01,WH010,120,0.67,optimized
DEM00013,2,R01,WH024,46,2.47,optimized
DEM00015,2,R01,WH047,30,2.57,optimized
DEM00046,2,R01,WH024,50,1.3,optimized
DEM00035,2,R01,WH006,87,0.68,optimized
DEM00153,2,R01,WH052,42,1.31,optimized
DEM00127,2,R01,WH002,39,0.88,optimized
DEM00127,2,R01,WH033,30,1.06,optimized
DEM00220,2,R01,WH015,99,1.7,optimized
DEM00272,2,R01,WH003,24,1.2,optimized
DEM00272,2,R01,WH005,3,1.51,optimized
DEM00272,2,R01,WH006,2,1.21,optimized
DEM00272,2,R01,WH031,111,2.71,optimized
DEM00315,2,R01,WH003,76,0.88,optimized
DEM00489,2,R01,WH010,24,1.2,optimized
DEM00607,2,R01,WH017,32,0.86,optimized
DEM00685,2,R01,WH031,68,2.7,optimized
DEM00685,2,R01,WH047,69,2.72,optimized
DEM00642,2,R01,WH005,87,0.89,optimized
DEM00642,2,R01,WH040,56,1.64,optimized
DEM00665,2,R01,WH004,26,2.06,optimized
DEM00665,2,R01,WH017,128,1.33,optimized
DEM00665,2,R01,WH049,88,1.01,optimized
DEM00213,1,R02,WH037,15,3.61,optimized
DEM00213,1,R02,WH053,112,3.55,optimized
DEM00265,1,R02,WH007,6,3.14,optimized
DEM00265,1,R02,WH022,48,4.52,optimized
DEM00236,1,R02,WH022,68,4.43,optimized
DEM00236,1,R02,WH028,61,3.43,optimized
DEM00307,1,R02,WH018,120,3.34,optimized
DEM00300,1,R02,WH031,30,3.07,optimized
DEM00430,1,R02,WH024,118,1.37,optimized
DEM00430,1,R02,WH056,37,1.93,optimized
DEM00405,1,R02,WH010,103,3.44,optimized
DEM00490,1,R02,WH044,132,2.83,optimized
DEM00531,1,R02,WH010,20,3.16,optimized
DEM00531,1,R02,WH020,100,2.76,optimized
DEM00560,1,R02,WH024,23,2.27,optimized
DEM00560,1,R02,WH033,54,1.13,optimized
DEM00550,1,R02,WH007,52,2.92,optimized
DEM00575,1,R02,WH005,16,1.6,optimized
DEM00575,1,R02,WH031,78,3.53,optimized
DEM00575,1,R02,WH050,126,4.04,optimized
DEM00694,1,R02,WH010,28,4.21,optimized
DEM00694,1,R02,WH015,65,2.54,optimized
DEM00694,1,R02,WH052,33,3.8,optimized
DEM00666,1,R02,WH004,100,1.33,optimized
DEM00666,1,R02,WH017,112,0.63,optimized
DEM00666,1,R02,WH040,8,1.33,optimized
DEM00666,1,R02,WH044,19,3.11,optimized
DEM00668,1,R02,WH009,138,1.93,optimized
DEM00668,1,R02,WH040,87,1.19,optimized
DEM00723,1,R02,WH005,101,1.51,optimized
DEM00723,1,R02,WH017,62,0.84,optimized
DEM00723,1,R02,WH049,38,0.71,optimized
DEM00036,2,R02,WH031,40,2.93,optimized
DEM00041,2,R02,WH008,18,1.0,optimized
DEM00041,2,R02,WH016,2,1.8,optimized
DEM00033,2,R02,WH052,74,3.17,optimized
DEM00083,2,R02,WH006,68,0.79,optimized
DEM00083,2,R02,WH037,9,3.81,optimized
DEM00062,2,R02,WH044,24,3.35,optimized
DEM00062,2,R02,WH056,79,2.29,optimized
DEM00110,2,R02,WH050,82,3.91,optimized
DEM00057,2,R02,WH005,44,1.15,optimized
DEM00057,2,R02,WH006,26,0.91,optimized
DEM00146,2,R02,WH048,12,1.02,optimized
DEM00198,2,R02,WH036,87,0.87,optimized
DEM00185,2,R02,WH001,55,0.71,optimized
DEM00185,2,R02,WH002,35,0.83,optimized
DEM00185,2,R02,WH031,22,3.85,optimized
DEM00351,2,R02,WH010,48,1.2,optimized
DEM00388,2,R02,WH018,102,3.34,optimized
DEM00388,2,R02,WH034,34,3.51,optimized
DEM00384,2,R02,WH047,132,2.54,optimized
DEM00370,2,R02,WH010,23,1.06,optimized
DEM00370,2,R02,WH036,58,0.99,optimized
DEM00488,2,R02,WH010,72,4.21,optimized
DEM00443,2,R02,WH002,112,0.75,optimized
DEM00512,2,R02,WH012,22,3.25,optimized
DEM00512,2,R02,WH044,63,2.27,optimized
DEM00512,2,R02,WH060,27,2.65,optimized
DEM00525,2,R02,WH007,24,3.12,optimized
DEM00525,2,R02,WH033,118,1.13,optimized
DEM00596,2,R02,WH015,43,2.58,optimized
DEM00596,2,R02,WH031,40,3.9,optimized
DEM00596,2,R02,WH047,84,3.45,optimized
DEM00610,2,R02,WH036,144,0.91,optimized
DEM00610,2,R02,WH048,4,1.77,optimized
DEM00517,2,R02,WH003,132,0.88,optimized
DEM00517,2,R02,WH018,38,4.16,optimized
DEM00517,2,R02,WH050,50,3.81,optimized
DEM00643,2,R02,WH020,159,0.92,optimized
DEM00738,2,R02,WH031,57,3.07,optimized
DEM00125,1,R03,WH009,72,1.94,optimized
DEM00182,1,R03,WH009,64,2.42,optimized
DEM00182,1,R03,WH017,44,0.86,optimized
DEM00182,1,R03,WH040,24,1.66,optimized
DEM00162,1,R03,WH037,61,2.56,optimized
DEM00257,1,R03,WH010,42,4.12,optimized
DEM00257,1,R03,WH015,21,2.32,optimized
DEM00363,1,R03,WH005,84,1.58,optimized
DEM00363,1,R03,WH006,57,1.38,optimized
DEM00363,1,R03,WH009,11,2.74,optimized
DEM00312,1,R03,WH006,56,0.86,optimized
DEM00312,1,R03,WH050,34,3.39,optimized
DEM00299,1,R03,WH002,33,0.7,optimized
DEM00299,1,R03,WH004,41,1.9,optimized
DEM00299,1,R03,WH033,19,0.79,optimized
DEM00299,1,R03,WH044,37,3.63,optimized
DEM00410,1,R03,WH010,121,3.16,optimized
DEM00500,1,R03,WH050,150,3.54,optimized
DEM00474,1,R03,WH002,66,1.01,optimized
DEM00474,1,R03,WH010,109,4.21,optimized
DEM00600,1,R03,WH010,39,3.66,optimized
DEM00600,1,R03,WH020,90,3.22,optimized
DEM00600,1,R03,WH052,46,3.17,optimized
DEM00565,1,R03,WH004,85,1.1,optimized
DEM00565,1,R03,WH060,90,3.22,optimized
DEM00745,1,R03,WH031,84,3.38,optimized
DEM00743,1,R03,WH007,29,2.74,optimized
DEM00743,1,R03,WH024,130,1.84,optimized
DEM00726,1,R03,WH037,60,2.01,optimized
DEM00012,2,R03,WH048,81,1.24,optimized
DEM00011,2,R03,WH008,11,1.1,optimized
DEM00077,2,R03,WH040,110,1.33,optimized
DEM00074,2,R03,WH037,7,2.18,optimized
DEM00132,2,R03,WH015,24,2.15,optimized
DEM00140,2,R03,WH007,44,3.56,optimized
DEM00140,2,R03,WH028,59,4.01,optimized
DEM00174,2,R03,WH037,59,2.56,optimized
DEM00174,2,R03,WH053,41,2.46,optimized
DEM00275,2,R03,WH031,2,3.38,optimized
DEM00275,2,R03,WH050,24,3.91,optimized
DEM00223,2,R03,WH007,51,2.74,optimized
DEM00223,2,R03,WH056,78,2.39,optimized
DEM00217,2,R03,WH049,134,0.93,optimized
DEM00285,2,R03,WH052,75,0.81,optimized
DEM00259,2,R03,WH003,40,0.93,optimized
DEM00259,2,R03,WH050,23,3.81,optimized
DEM00394,2,R03,WH044,23,3.23,optimized
DEM00394,2,R03,WH056,83,2.17,optimized
DEM00393,2,R03,WH001,90,0.87,optimized
DEM00393,2,R03,WH009,21,2.83,optimized
DEM00393,2,R03,WH049,55,1.07,optimized
DEM00456,2,R03,WH037,64,3.19,optimized
DEM00456,2,R03,WH050,102,3.13,optimized
DEM00592,2,R03,WH015,115,2.16,optimized
DEM00592,2,R03,WH031,47,3.36,optimized
DEM00592,2,R03,WH047,58,2.98,optimized
DEM00134,1,R04,WH031,42,2.86,optimized
DEM00286,1,R04,WH007,49,2.94,optimized
DEM00286,1,R04,WH024,56,2.13,optimized
DEM00310,1,R04,WH001,42,1.08,optimized
DEM00310,1,R04,WH015,63,2.29,optimized
DEM00310,1,R04,WH049,61,1.12,optimized
DEM00353,1,R04,WH015,23,2.22,optimized
DEM00353,1,R04,WH020,55,3.56,optimized
DEM00383,1,R04,WH031,68,2.7,optimized
DEM00383,1,R04,WH050,36,3.0,optimized
DEM00483,1,R04,WH024,14,2.44,optimized
DEM00483,1,R04,WH028,67,3.71,optimized
DEM00483,1,R04,WH033,85,1.36,optimized
DEM00602,1,R04,WH020,55,3.05,optimized
DEM00539,1,R04,WH052,36,1.13,optimized
DEM00622,1,R04,WH002,107,0.74,optimized
DEM00622,1,R04,WH033,27,0.83,optimized
DEM00693,1,R04,WH047,16,1.47,optimized
DEM00636,1,R04,WH050,19,3.0,optimized
DEM00736,1,R04,WH005,63,1.45,optimized
DEM00736,1,R04,WH049,90,1.01,optimized
DEM00094,2,R04,WH056,51,1.36,optimized
DEM00118,2,R04,WH036,7,0.61,optimized
DEM00120,2,R04,WH001,50,0.92,optimized
DEM00200,2,R04,WH001,28,0.71,optimized
DEM00273,2,R04,WH017,119,0.75,optimized
DEM00226,2,R04,WH031,141,2.97,optimized
DEM00333,2,R04,WH005,4,1.06,optimized
DEM00333,2,R04,WH006,78,0.79,optimized
DEM00324,2,R04,WH033,64,1.42,optimized
DEM00509,2,R04,WH031,78,2.78,optimized
DEM00455,2,R04,WH028,153,3.47,optimized
DEM00551,2,R04,WH009,140,1.65,optimized
DEM00585,2,R04,WH004,14,1.33,optimized
DEM00585,2,R04,WH017,22,0.63,optimized
DEM00585,2,R04,WH040,11,1.33,optimized
DEM00595,2,R04,WH003,34,0.68,optimized
DEM00595,2,R04,WH006,33,1.02,optimized
DEM00524,2,R04,WH005,100,1.1,optimized
DEM00524,2,R04,WH009,32,2.22,optimized
DEM00524,2,R04,WH040,25,1.53,optimized
DEM00540,2,R04,WH040,55,1.29,optimized
DEM00633,2,R04,WH015,44,1.36,optimized
DEM00633,2,R04,WH047,41,2.09,optimized
DEM00616,2,R04,WH004,24,1.34,optimized
DEM00616,2,R04,WH024,47,1.42,optimized
DEM00729,2,R04,WH004,24,1.26,optimized
DEM00164,1,R05,WH003,1066,1.35,optimized
DEM00164,1,R05,WH049,779,1.32,optimized
DEM00186,1,R05,WH052,301,0.99,optimized
DEM00282,1,R05,WH031,801,1.23,optimized
DEM00338,1,R05,WH001,167,1.11,optimized
DEM00338,1,R05,WH002,370,1.13,optimized
DEM00338,1,R05,WH017,73,1.69,optimized
DEM00356,1,R05,WH020,877,0.92,optimized
DEM00356,1,R05,WH052,190,1.01,optimized
DEM00295,1,R05,WH031,388,1.09,optimized
DEM00578,1,R05,WH033,405,0.66,optimized
DEM00576,1,R05,WH052,549,1.01,optimized
DEM00690,1,R05,WH024,182,1.41,optimized
DEM00621,1,R05,WH052,3262,2.75,optimized
DEM00742,1,R05,WH008,690,1.09,optimized
DEM00710,1,R05,WH036,80,1.05,optimized
DEM00051,2,R05,WH024,41,1.31,optimized
DEM00051,2,R05,WH056,31,1.78,optimized
DEM00045,2,R05,WH015,881,1.27,optimized
DEM00045,2,R05,WH052,67,2.63,optimized
DEM00102,2,R05,WH024,380,1.3,optimized
DEM00084,2,R05,WH004,519,0.95,optimized
