gmina_code,gmina_name,voivodeship_code,nearest_warehouse_id,nearest_warehouse_name,access_time_h,second_access_time_h,third_access_time_h,coverage_gap
201001,Klodzko,02,WH002,magazyn_wojewodzki_OC_dolnoslaskie_02,1.08,1.2,1.35,False
201002,Bystrzyca Klodzka,02,WH002,magazyn_wojewodzki_OC_dolnoslaskie_02,1.02,1.09,1.29,False
201003,Ladek-Zdroj,02,WH002,magazyn_wojewodzki_OC_dolnoslaskie_02,0.65,0.81,0.92,False
201004,Stronie Slaskie,02,WH001,ARS_dolnoslaskie_01,1.1,1.12,1.4,False
201005,Nysa,02,WH002,magazyn_wojewodzki_OC_dolnoslaskie_02,1.17,1.23,1.44,False
201006,Opole,02,WH002,magazyn_wojewodzki_OC_dolnoslaskie_02,1.17,1.24,1.43,False
201007,Wroclaw,02,WH002,magazyn_wojewodzki_OC_dolnoslaskie_02,0.97,1.05,1.24,False
202001,Lewin Brzeski,02,WH004,magazyn_WOT_opolskie_04,0.7,0.8,0.91,False
202002,Brzeg,02,WH004,magazyn_WOT_opolskie_04,0.48,0.63,1.04,False
202003,Olawa,02,WH040,magazyn_WOT_opolskie_40,0.75,0.84,0.93,False
202004,Bardo,02,WH004,magazyn_WOT_opolskie_04,0.78,0.79,0.99,False
202005,Glucholazy,02,WH040,magazyn_WOT_opolskie_40,0.54,0.64,1.16,False
202006,Paczkow,02,WH024,magazyn_WOT_opolskie_24,0.71,0.85,1.06,False
203001,Krapkowice,02,WH049,ARS_dolnoslaskie_49,0.8,0.9,0.9,False
203002,Kedzierzyn-Kozle,02,WH006,magazyn_wojewodzki_OC_dolnoslaskie_06,0.62,0.75,0.86,False
203003,gmina_dolnoslaskie_03_03,02,WH006,magazyn_wojewodzki_OC_dolnoslaskie_06,0.63,0.79,0.83,False
203004,gmina_dolnoslaskie_03_04,02,WH006,magazyn_wojewodzki_OC_dolnoslaskie_06,0.63,0.81,0.81,False
203005,gmina_dolnoslaskie_03_05,02,WH049,ARS_dolnoslaskie_49,0.66,0.77,1.11,False
203006,gmina_dolnoslaskie_03_06,02,WH049,ARS_dolnoslaskie_49,0.71,0.93,0.95,False
203007,gmina_dolnoslaskie_03_07,02,WH003,skladnica_PSP_dolnoslaskie_03,0.58,0.92,1.2,False
204001,gmina_dolnoslaskie_04_01,02,WH015,skladnica_PSP_wielkopolskie_15,1.56,1.71,1.76,False
204002,gmina_dolnoslaskie_04_02,02,WH015,skladnica_PSP_wielkopolskie_15,1.54,1.91,1.93,False
204003,gmina_dolnoslaskie_04_03,02,WH015,skladnica_PSP_wielkopolskie_15,1.52,1.9,1.92,False
204004,gmina_dolnoslaskie_04_04,02,WH002,magazyn_wojewodzki_OC_dolnoslaskie_02,1.66,1.77,1.91,False
204005,gmina_dolnoslaskie_04_05,02,WH015,skladnica_PSP_wielkopolskie_15,1.6,1.78,1.8,False
204006,gmina_dolnoslaskie_04_06,02,WH015,skladnica_PSP_wielkopolskie_15,1.58,1.91,1.91,False
205001,gmina_dolnoslaskie_05_01,02,WH017,ARS_dolnoslaskie_17,0.53,0.76,1.08,False
205002,gmina_dolnoslaskie_05_02,02,WH017,ARS_dolnoslaskie_17,0.63,0.68,0.89,False
205003,gmina_dolnoslaskie_05_03,02,WH017,ARS_dolnoslaskie_17,0.63,0.75,1.15,False
205004,gmina_dolnoslaskie_05_04,02,WH049,ARS_dolnoslaskie_49,0.73,0.89,0.99,False
205005,gmina_dolnoslaskie_05_05,02,WH049,ARS_dolnoslaskie_49,0.61,0.67,1.05,False
205006,gmina_dolnoslaskie_05_06,02,WH049,ARS_dolnoslaskie_49,0.67,0.76,0.78,False
206001,gmina_dolnoslaskie_06_01,02,WH033,ARS_dolnoslaskie_33,1.88,2.03,2.31,False
206002,gmina_dolnoslaskie_06_02,02,WH033,ARS_dolnoslaskie_33,1.41,1.49,1.78,False
206003,gmina_dolnoslaskie_06_03,02,WH033,ARS_dolnoslaskie_33,1.86,2.02,2.3,False
206004,gmina_dolnoslaskie_06_04,02,WH033,ARS_dolnoslaskie_33,1.88,2.04,2.31,False
206005,gmina_dolnoslaskie_06_05,02,WH033,ARS_dolnoslaskie_33,2.0,2.19,2.34,False
207001,gmina_dolnoslaskie_07_01,02,WH001,ARS_dolnoslaskie_01,0.8,0.8,1.08,False
207002,gmina_dolnoslaskie_07_02,02,WH001,ARS_dolnoslaskie_01,0.62,0.82,0.92,False
