voivodeship_code,resource_type_id,available_qty,daily_consumption,days_of_stock,recommendation
2,R01,844,0.0,999.0,OK
2,R02,812,0.0,999.0,OK
2,R03,594,0.0,999.0,OK
2,R04,840,4202.333333333333,0.2,uruchomic_rezerwy_strategiczne_lub_umowe_ramowa
2,R05,10112,3977.3333333333335,2.5,monitorowac_i_przygotowac_ARS
2,R06,15804,4038.0,3.9,monitorowac_i_przygotowac_ARS
2,R07,745,0.0,999.0,OK
2,R08,730,0.0,999.0,OK
2,R09,16853,0.0,999.0,OK
2,R10,604,0.0,999.0,OK
2,R11,347,0.0,999.0,OK
2,R12,614,0.0,999.0,OK
2,R13,850,0.0,999.0,OK
2,R14,782,0.0,999.0,OK
2,R15,961,0.0,999.0,OK
2,R16,10019,4267.333333333333,2.3,monitorowac_i_przygotowac_ARS
2,R17,859,4068.3333333333335,0.2,uruchomic_rezerwy_strategiczne_lub_umowe_ramowa
2,R18,833,0.0,999.0,OK
2,R19,583,0.0,999.0,OK
2,R20,788,0.0,999.0,OK
4,R01,744,0.0,999.0,OK
4,R02,552,0.0,999.0,OK
4,R03,504,0.0,999.0,OK
4,R04,851,1642.3333333333333,0.5,uruchomic_rezerwy_strategiczne_lub_umowe_ramowa
4,R05,6922,1586.0,4.4,monitorowac_i_przygotowac_ARS
4,R06,8620,1596.0,5.4,OK
4,R07,513,0.0,999.0,OK
4,R08,283,0.0,999.0,OK
4,R09,10221,0.0,999.0,OK
4,R10,270,0.0,999.0,OK
4,R11,302,0.0,999.0,OK
4,R12,716,0.0,999.0,OK
4,R13,369,0.0,999.0,OK
4,R14,812,0.0,999.0,OK
4,R15,720,0.0,999.0,OK
4,R16,9456,1590.6666666666667,5.9,OK
4,R17,703,1554.6666666666667,0.5,uruchomic_rezerwy_strategiczne_lub_umowe_ramowa
4,R18,283,0.0,999.0,OK
4,R19,612,0.0,999.0,OK
4,R20,448,0.0,999.0,OK
6,R01,557,0.0,999.0,OK
6,R02,289,0.0,999.0,OK
6,R03,456,0.0,999.0,OK
6,R04,476,652.3333333333334,0.7,uruchomic_rezerwy_strategiczne_lub_umowe_ramowa
6,R05,9636,715.6666666666666,13.5,OK
6,R06,7816,707.0,11.1,OK
6,R07,697,0.0,999.0,OK
6,R08,376,0.0,999.0,OK
6,R09,9839,0.0,999.0,OK
6,R10,750,0.0,999.0,OK
6,R11,458,0.0,999.0,OK
6,R12,620,0.0,999.0,OK
6,R13,610,0.0,999.0,OK
6,R14,865,0.0,999.0,OK
6,R15,683,0.0,999.0,OK
6,R16,12124,570.6666666666666,21.2,OK
6,R17,735,582.6666666666666,1.3,uruchomic_rezerwy_strategiczne_lub_umowe_ramowa
6,R18,528,0.0,999.0,OK
6,R19,307,0.0,999.0,OK
6,R20,576,0.0,999.0,OK
8,R01,610,0.0,999.0,OK
8,R02,967,0.0,999.0,OK
8,R03,878,0.0,999.0,OK
8,R04,999,151.0,6.6,OK
8,R05,15648,213.0,73.5,OK
8,R06,14291,175.66666666666666,81.4,OK
8,R07,906,0.0,999.0,OK
8,R08,757,0.0,999.0,OK
8,R09,10978,0.0,999.0,OK
8,R10,783,0.0,999.0,OK
8,R11,841,0.0,999.0,OK
