gmina_code,gmina_name,powiat_code,voivodeship_code,population,lat,lon
0201001,Klodzko,0201,02,7489,50.98435,16.24966
0201002,Bystrzyca Klodzka,0201,02,47965,51.2546,16.40741
0201003,Ladek-Zdroj,0201,02,35775,51.12709,16.59871
0201004,Stronie Slaskie,0201,02,10281,51.33909,16.46857
0201005,Nysa,0201,02,28439,51.29876,16.32052
0201006,Opole,0201,02,56266,51.28592,16.30459
0201007,Wroclaw,0201,02,58618,51.23149,16.42843
0202001,Lewin Brzeski,0202,02,56589,50.76833,17.64606
0202002,Brzeg,0202,02,25890,50.87152,17.76843
0202003,Olawa,0202,02,32696,50.88002,18.04506
0202004,Bardo,0202,02,26071,50.75742,17.57219
0202005,Glucholazy,0202,02,65849,50.90409,17.88303
0202006,Paczkow,0202,02,32446,50.71479,17.57048
0203001,Krapkowice,0203,02,10400,51.29673,17.47594
0203002,Kedzierzyn-Kozle,0203,02,57520,51.41168,17.57822
0203003,gmina_dolnoslaskie_03_03,0203,02,27451,51.41232,17.54742
0203004,gmina_dolnoslaskie_03_04,0203,02,55084,51.42083,17.5398
0203005,gmina_dolnoslaskie_03_05,0203,02,2287,51.19382,17.38764
0203006,gmina_dolnoslaskie_03_06,0203,02,38583,51.30019,17.39477
0203007,gmina_dolnoslaskie_03_07,0203,02,32180,51.57759,17.30026
0204001,gmina_dolnoslaskie_04_01,0204,02,39838,51.59289,16.21822
0204002,gmina_dolnoslaskie_04_02,0204,02,43818,51.61981,16.04863
0204003,gmina_dolnoslaskie_04_03,0204,02,24804,51.62821,16.07381
0204004,gmina_dolnoslaskie_04_04,0204,02,30710,51.35084,15.9231
0204005,gmina_dolnoslaskie_04_05,0204,02,56194,51.58131,16.12721
0204006,gmina_dolnoslaskie_04_06,0204,02,5659,51.60644,16.03606
0205001,gmina_dolnoslaskie_05_01,0205,02,29468,51.09054,17.31599
0205002,gmina_dolnoslaskie_05_02,0205,02,55688,51.12696,17.18274
0205003,gmina_dolnoslaskie_05_03,0205,02,47926,51.11556,17.37607
0205004,gmina_dolnoslaskie_05_04,0205,02,32376,51.23908,17.44552
0205005,gmina_dolnoslaskie_05_05,0205,02,34610,51.16378,17.30635
0205006,gmina_dolnoslaskie_05_06,0205,02,31335,51.16622,17.1041
0206001,gmina_dolnoslaskie_06_01,0206,02,26046,50.3845,16.24201
0206002,gmina_dolnoslaskie_06_02,0206,02,61948,50.67111,16.24551
0206003,gmina_dolnoslaskie_06_03,0206,02,19087,50.38084,16.26965
0206004,gmina_dolnoslaskie_06_04,0206,02,49258,50.37871,16.24827
0206005,gmina_dolnoslaskie_06_05,0206,02,10245,50.27766,16.37202
0207001,gmina_dolnoslaskie_07_01,0207,02,31972,51.21923,16.6185
0207002,gmina_dolnoslaskie_07_02,0207,02,45710,51.21269,16.9595
0207003,gmina_dolnoslaskie_07_03,0207,02,30404,51.17873,16.53946
0207004,gmina_dolnoslaskie_07_04,0207,02,51945,51.23845,16.92069
0207005,gmina_dolnoslaskie_07_05,0207,02,29326,51.31841,16.76032
0208001,gmina_dolnoslaskie_08_01,0208,02,21659,51.67391,16.15591
0208002,gmina_dolnoslaskie_08_02,0208,02,63042,51.80716,16.34062
0208003,gmina_dolnoslaskie_08_03,0208,02,11829,51.59256,16.42634
0208004,gmina_dolnoslaskie_08_04,0208,02,65256,51.83354,16.69566
0208005,gmina_dolnoslaskie_08_05,0208,02,46228,51.77846,16.21785
0208006,gmina_dolnoslaskie_08_06,0208,02,34284,51.44742,16.41901
0209001,gmina_dolnoslaskie_09_01,0209,02,20637,50.90714,16.82668
0209002,gmina_dolnoslaskie_09_02,0209,02,3230,50.74794,16.63585
0209003,gmina_dolnoslaskie_09_03,0209,02,22698,50.70534,16.79295
0209004,gmina_dolnoslaskie_09_04,0209,02,8987,50.9984,16.8224
0209005,gmina_dolnoslaskie_09_05,0209,02,23028,50.70366,16.61196
0209006,gmina_dolnoslaskie_09_06,0209,02,8932,50.6431,16.68552
0210001,gmina_dolnoslaskie_10_01,0210,02,65564,52.12506,16.63983
0210002,gmina_dolnoslaskie_10_02,0210,02,22794,51.98359,16.57172
0210003,gmina_dolnoslaskie_10_03,0210,02,67429,52.06195,16.50544
0210004,gmina_dolnoslaskie_10_04,0210,02,63766,51.84463,16.37377
0210005,gmina_dolnoslaskie_10_05,0210,02,11831,52.20924,16.60384
0210006,gmina_dolnoslaskie_10_06,0210,02,60829,51.98853,16.62397
0210007,gmina_dolnoslaskie_10_07,0210,02,32883,52.03248,16.51249
0211001,gmina_dolnoslaskie_11_01,0211,02,22714,51.59846,17.0699
0211002,gmina_dolnoslaskie_11_02,0211,02,64539,51.78926,17.5416
0211003,gmina_dolnoslaskie_11_03,0211,02,17752,51.5513,17.20451
0211004,gmina_dolnoslaskie_11_04,0211,02,26109,51.43073,17.12266
0211005,gmina_dolnoslaskie_11_05,0211,02,41479,51.65827,17.20268
0211006,gmina_dolnoslaskie_11_06,0211,02,34854,51.55339,17.31983
0211007,gmina_dolnoslaskie_11_07,0211,02,34949,51.75761,17.28031
0211008,gmina_dolnoslaskie_11_08,0211,02,2989,51.30812,17.25802
0212001,gmina_dolnoslaskie_12_01,0212,02,46661,50.71241,16.5062
0212002,gmina_dolnoslaskie_12_02,0212,02,7386,50.75983,16.28219
0212003,gmina_dolnoslaskie_12_03,0212,02,50720,50.71325,16.52009
0212004,gmina_dolnoslaskie_12_04,0212,02,35454,50.92971,16.33493
0212005,gmina_dolnoslaskie_12_05,0212,02,45681,50.66537,16.32384
0212006,gmina_dolnoslaskie_12_06,0212,02,41317,50.7788,16.18615
0213001,gmina_dolnoslaskie_13_01,0213,02,38554,51.392,17.01901
0213002,gmina_dolnoslaskie_13_02,0213,02,50677,50.95776,17.06101
0213003,gmina_dolnoslaskie_13_03,0213,02,55048,51.18903,17.34846
0213004,gmina_dolnoslaskie_13_04,0213,02,20861,51.06297,16.81196
0213005,gmina_dolnoslaskie_13_05,0213,02,56708,51.12686,16.98554
0213006,gmina_dolnoslaskie_13_06,0213,02,63579,51.43544,17.07082
0213007,gmina_dolnoslaskie_13_07,0213,02,59244,51.03401,17.14044
0213008,gmina_dolnoslaskie_13_08,0213,02,65525,50.95729,17.49621
0213009,gmina_dolnoslaskie_13_09,0213,02,59227,50.98064,16.98004
0214001,gmina_dolnoslaskie_14_01,0214,02,33272,51.92591,18.90438
0214002,gmina_dolnoslaskie_14_02,0214,02,41151,51.75321,18.58854
0214003,gmina_dolnoslaskie_14_03,0214,02,62390,51.93802,18.5676
0214004,gmina_dolnoslaskie_14_04,0214,02,62768,51.86411,18.4078
0214005,gmina_dolnoslaskie_14_05,0214,02,37566,51.84687,18.66493
0215001,gmina_dolnoslaskie_15_01,0215,02,3199,50.89697,17.34563
0215002,gmina_dolnoslaskie_15_02,0215,02,66968,50.87677,17.1739
0215003,gmina_dolnoslaskie_15_03,0215,02,35199,50.91791,17.27378
