powiat_code,powiat_name,voivodeship_code,lat,lon
0201,klodzki,02,51.23798,16.45801
0202,wroclawski,02,50.82401,17.7024
0203,olawski,02,51.38325,17.43879
0204,zabkowicki,02,51.51668,16.10442
0205,dzierzoniowski,02,51.17659,17.37407
0206,legnicki,02,50.50221,16.30252
0207,powiat_dolnoslaskie_07,02,51.20985,16.70322
0208,powiat_dolnoslaskie_08,02,51.72459,16.37618
0209,powiat_dolnoslaskie_09,02,50.76856,16.80155
0210,powiat_dolnoslaskie_10,02,52.00396,16.57824
0211,powiat_dolnoslaskie_11,02,51.57464,17.26582
0212,powiat_dolnoslaskie_12,02,50.75584,16.35965
0213,powiat_dolnoslaskie_13,02,51.14801,17.15553
0214,powiat_dolnoslaskie_14,02,51.8815,18.62779
0215,powiat_dolnoslaskie_15,02,50.87676,17.28935
0216,powiat_dolnoslaskie_16,02,51.22076,17.05886
0217,powiat_dolnoslaskie_17,02,51.08424,16.45091
0218,powiat_dolnoslaskie_18,02,51.60192,17.44298
0219,powiat_dolnoslaskie_19,02,50.86174,17.355
0220,powiat_dolnoslaskie_20,02,51.52993,16.44781
0221,powiat_dolnoslaskie_21,02,51.15531,17.75025
0222,powiat_dolnoslaskie_22,02,51.16806,17.44807
0223,powiat_dolnoslaskie_23,02,51.56747,17.76023
0224,powiat_dolnoslaskie_24,02,51.49988,16.69725
0225,powiat_dolnoslaskie_25,02,51.92943,18.17234
0226,powiat_dolnoslaskie_26,02,50.99057,17.13193
0227,powiat_dolnoslaskie_27,02,51.30067,16.86023
0228,powiat_dolnoslaskie_28,02,51.3907,16.6514
0229,powiat_dolnoslaskie_29,02,50.77964,16.10244
0230,powiat_dolnoslaskie_30,02,50.67645,16.34554
0401,powiat_kujawsko-pomorskie_01,04,52.50897,18.7449
0402,powiat_kujawsko-pomorskie_02,04,53.2215,17.03377
0403,powiat_kujawsko-pomorskie_03,04,52.86213,18.80815
0404,powiat_kujawsko-pomorskie_04,04,53.04023,17.39764
0405,powiat_kujawsko-pomorskie_05,04,53.19451,18.67689
0406,powiat_kujawsko-pomorskie_06,04,53.26673,19.32043
0407,powiat_kujawsko-pomorskie_07,04,52.79139,16.7338
0408,powiat_kujawsko-pomorskie_08,04,53.4147,17.44071
0409,powiat_kujawsko-pomorskie_09,04,53.14448,18.31181
0410,powiat_kujawsko-pomorskie_10,04,52.74489,18.0163
0411,powiat_kujawsko-pomorskie_11,04,52.8864,17.30609
0412,powiat_kujawsko-pomorskie_12,04,52.80664,17.32233
0413,powiat_kujawsko-pomorskie_13,04,52.87728,18.14909
0414,powiat_kujawsko-pomorskie_14,04,51.99741,18.22776
0415,powiat_kujawsko-pomorskie_15,04,53.50161,18.0271
0416,powiat_kujawsko-pomorskie_16,04,53.4242,18.04465
0417,powiat_kujawsko-pomorskie_17,04,53.24135,18.69472
0418,powiat_kujawsko-pomorskie_18,04,53.78708,17.66779
0419,powiat_kujawsko-pomorskie_19,04,53.02245,18.05164
0420,powiat_kujawsko-pomorskie_20,04,53.28081,16.00337
0421,powiat_kujawsko-pomorskie_21,04,53.10504,17.25939
0422,powiat_kujawsko-pomorskie_22,04,53.21638,18.41457
0423,powiat_kujawsko-pomorskie_23,04,52.94592,18.35865
0601,powiat_lubelskie_01,06,51.50878,21.41063
0602,powiat_lubelskie_02,06,51.65904,22.95421
0603,powiat_lubelskie_03,06,51.8607,22.31894
0604,powiat_lubelskie_04,06,51.29637,22.34542
0605,powiat_lubelskie_05,06,51.72464,22.90775
0606,powiat_lubelskie_06,06,51.43913,22.57171
0607,powiat_lubelskie_07,06,51.21271,22.57209
0608,powiat_lubelskie_08,06,51.09743,22.42997
0609,powiat_lubelskie_09,06,51.31242,22.77142
0610,powiat_lubelskie_10,06,50.86086,23.38671
0611,powiat_lubelskie_11,06,50.95031,21.11156
0612,powiat_lubelskie_12,06,51.48501,22.8814
0613,powiat_lubelskie_13,06,51.0769,21.57577
0614,powiat_lubelskie_14,06,51.22919,22.50648
0615,powiat_lubelskie_15,06,50.40408,23.00771
0616,powiat_lubelskie_16,06,51.56662,22.43189
0617,powiat_lubelskie_17,06,51.16476,22.77682
0618,powiat_lubelskie_18,06,50.7986,23.0521
0619,powiat_lubelskie_19,06,50.70741,22.76394
0620,powiat_lubelskie_20,06,51.32445,22.73018
0621,powiat_lubelskie_21,06,51.74666,22.39181
0622,powiat_lubelskie_22,06,51.65788,22.58541
0623,powiat_lubelskie_23,06,51.06521,20.94441
0624,powiat_lubelskie_24,06,51.20581,22.35262
0801,powiat_lubuskie_01,08,52.67162,16.3928
0802,powiat_lubuskie_02,08,52.48116,15.22752
0803,powiat_lubuskie_03,08,53.57896,15.31279
0804,powiat_lubuskie_04,08,52.99926,15.54545
0805,powiat_lubuskie_05,08,52.90611,14.37812
0806,powiat_lubuskie_06,08,52.80807,15.64134
0807,powiat_lubuskie_07,08,52.44471,15.17435
0808,powiat_lubuskie_08,08,53.40266,14.65282
0809,powiat_lubuskie_09,08,53.96398,14.26266
0810,powiat_lubuskie_10,08,53.149,15.24456
0811,powiat_lubuskie_11,08,52.64069,14.37805
0812,powiat_lubuskie_12,08,52.64448,14.35172
0813,powiat_lubuskie_13,08,53.73733,14.28426
0814,powiat_lubuskie_14,08,52.99464,14.50389
1001,powiat_lodzkie_01,10,52.39051,19.73862
1002,powiat_lodzkie_02,10,52.48818,20.7072
1003,powiat_lodzkie_03,10,51.22596,20.39835
1004,powiat_lodzkie_04,10,51.63321,19.27998
1005,powiat_lodzkie_05,10,51.76701,19.5536
1006,powiat_lodzkie_06,10,51.79411,18.84547
1007,powiat_lodzkie_07,10,51.86714,19.29536
1008,powiat_lodzkie_08,10,51.5112,18.8031
1009,powiat_lodzkie_09,10,51.85385,18.60134
1010,powiat_lodzkie_10,10,51.57267,19.6995
1011,powiat_lodzkie_11,10,51.52509,18.90053
1012,powiat_lodzkie_12,10,51.45409,18.95999
1013,powiat_lodzkie_13,10,51.46156,19.7268
1014,powiat_lodzkie_14,10,51.64825,19.56911
1015,powiat_lodzkie_15,10,51.87578,18.68736
1016,powiat_lodzkie_16,10,50.67721,19.57298
1017,powiat_lodzkie_17,10,51.35238,19.82324
