resource_type_id,resource_name,unit,category,weight_kg,volume_m3,requires_operator,setup_time_h
R01,agregaty_pradotworcze,kW,energia,850,3.0,1,2.0
R02,pompy_wysokiej_wydajnosci,szt,powodz,620,2.2,1,1.5
R03,lozka_polowe,szt,schronienie,18,0.12,0,0.1
R04,koce,szt,schronienie,2,0.02,0,0.0
R05,woda_butelkowana,palety,zywnosc,720,1.8,0,0.1
R06,racje_zywnosciowe,kartony,zywnosc,25,0.08,0,0.0
R07,namioty_pneumatyczne,szt,schronienie,420,3.5,1,1.0
R08,nagrzewnice,szt,energia,90,0.45,1,0.3
R09,worki_przeciwpowodziowe,tys_szt,powodz,950,1.6,0,0.0
R10,osuszacze,szt,odbudowa,55,0.25,0,0.1
R11,generatory_medyczne,szt,zdrowie,450,1.8,1,1.0
R12,karetki,szt,zdrowie,3500,12.0,1,0.2
R13,smiglowce,szt,transport,5000,30.0,1,0.5
R14,amfibie,szt,transport,9000,28.0,1,0.7
R15,mosty_pontonowe,moduly,transport,2200,8.0,1,4.0
R16,paliwo,l,paliwo,0.84,0.001,0,0.0
R17,leki_opatrunki,pakiety,zdrowie,6,0.03,0,0.0
R18,agregaty_uzdatniania_wody,szt,woda,780,2.4,1,1.5
R19,radiotelefony,szt,lacznosc,1.2,0.01,0,0.0
R20,terminale_satelitarne,szt,lacznosc,12,0.05,1,0.2
