shelter_id,shelter_name,shelter_type,gmina_code,capacity,has_kitchen,has_medical_room,accessible_disabled,lat,lon
SH0001,punkt_przyjecia_0001,osrodek,0224004,489,1,0,0,51.33022,16.85885
SH0002,punkt_przyjecia_0002,szkola,0402005,241,1,0,1,53.23294,16.82889
SH0003,punkt_przyjecia_0003,hala,0230006,463,1,0,1,50.53347,16.37564
SH0004,punkt_przyjecia_0004,internat,0228004,565,1,1,1,51.37815,16.70974
SH0005,punkt_przyjecia_0005,osrodek,0214004,629,1,0,1,51.86077,18.38449
SH0006,punkt_przyjecia_0006,hala,0207003,93,1,0,0,51.20233,16.52896
SH0007,punkt_przyjecia_0007,osrodek,0408005,203,1,0,0,53.31136,17.6694
SH0008,punkt_przyjecia_0008,szkola,0205001,467,1,0,0,51.09713,17.29935
SH0009,punkt_przyjecia_0009,szkola,0216001,260,0,1,1,51.20352,17.01248
SH0010,punkt_przyjecia_0010,osrodek,0215003,275,1,1,1,50.93711,17.27291
SH0011,punkt_przyjecia_0011,osrodek,0225002,633,1,0,1,51.97751,18.16112
SH0012,punkt_przyjecia_0012,szkola,0402004,400,1,1,0,53.31596,16.82424
SH0013,punkt_przyjecia_0013,internat,0229004,169,0,0,1,50.76967,16.1609
SH0014,punkt_przyjecia_0014,szkola,0222004,605,0,0,1,51.13062,17.57254
SH0015,punkt_przyjecia_0015,internat,0409002,576,1,0,0,53.26742,18.0402
SH0016,punkt_przyjecia_0016,osrodek,0204001,463,1,0,0,51.579,16.23674
SH0017,punkt_przyjecia_0017,osrodek,0403003,555,0,1,1,53.05999,18.62954
SH0018,punkt_przyjecia_0018,hala,0224001,472,1,1,1,51.35672,16.58004
SH0019,punkt_przyjecia_0019,szkola,0228006,135,1,1,0,51.34302,16.72138
SH0020,punkt_przyjecia_0020,hala,0202005,559,1,0,1,50.91416,17.88816
SH0021,punkt_przyjecia_0021,osrodek,0401003,109,1,0,0,52.34684,18.87405
SH0022,punkt_przyjecia_0022,hala,0204001,111,1,0,0,51.58302,16.23129
SH0023,punkt_przyjecia_0023,szkola,0404006,95,1,1,0,53.25102,17.22286
SH0024,punkt_przyjecia_0024,osrodek,0216001,522,1,0,1,51.18921,17.00726
SH0025,punkt_przyjecia_0025,osrodek,0218008,446,1,1,1,51.59683,17.48606
SH0026,punkt_przyjecia_0026,osrodek,0207005,283,1,0,1,51.29228,16.76373
SH0027,punkt_przyjecia_0027,hala,0215002,425,1,1,1,50.90914,17.16955
SH0028,punkt_przyjecia_0028,osrodek,0227005,378,1,0,1,51.61275,16.91076
SH0029,punkt_przyjecia_0029,szkola,0228005,90,1,1,0,51.61568,16.58478
SH0030,punkt_przyjecia_0030,hala,0225003,189,1,0,1,51.9293,18.04779
SH0031,punkt_przyjecia_0031,hala,0222003,62,1,0,0,51.24826,17.37957
SH0032,punkt_przyjecia_0032,internat,0207005,111,0,0,1,51.32213,16.71968
SH0033,punkt_przyjecia_0033,osrodek,0216001,427,0,1,1,51.21782,17.02301
SH0034,punkt_przyjecia_0034,hala,0407001,631,1,1,0,52.75367,16.92146
SH0035,punkt_przyjecia_0035,osrodek,0228001,446,1,0,0,51.57357,16.50108
SH0036,punkt_przyjecia_0036,szkola,0403006,228,1,1,0,52.84295,18.76051
SH0037,punkt_przyjecia_0037,szkola,0210005,213,1,0,0,52.20795,16.61077
SH0038,punkt_przyjecia_0038,osrodek,0402004,349,0,1,1,53.26912,16.91128
SH0039,punkt_przyjecia_0039,osrodek,0216006,369,1,0,1,51.32596,16.99718
SH0040,punkt_przyjecia_0040,hala,0203004,295,1,0,1,51.3969,17.52826
SH0041,punkt_przyjecia_0041,osrodek,0406005,633,1,1,1,53.23593,19.23508
SH0042,punkt_przyjecia_0042,internat,0210001,369,0,0,1,52.09778,16.65703
SH0043,punkt_przyjecia_0043,internat,0216005,92,1,1,0,51.27094,17.34466
SH0044,punkt_przyjecia_0044,osrodek,0206005,72,1,1,1,50.22266,16.385
SH0045,punkt_przyjecia_0045,hala,0206004,474,1,1,1,50.37905,16.26819
SH0046,punkt_przyjecia_0046,osrodek,0230002,362,1,0,1,50.59039,16.48576
SH0047,punkt_przyjecia_0047,internat,0230003,510,1,0,0,50.81501,16.32564
SH0048,punkt_przyjecia_0048,internat,0406001,589,1,1,1,53.34226,19.2992
SH0049,punkt_przyjecia_0049,hala,0215004,490,0,0,1,51.07749,17.33602
SH0050,punkt_przyjecia_0050,internat,0206004,614,1,0,1,50.34876,16.26008
SH0051,punkt_przyjecia_0051,szkola,0204004,109,1,0,1,51.31699,15.91533
SH0052,punkt_przyjecia_0052,szkola,0404005,351,1,1,1,53.301,17.34774
SH0053,punkt_przyjecia_0053,hala,0207003,468,1,1,1,51.15416,16.53849
SH0054,punkt_przyjecia_0054,internat,0401008,117,0,0,1,52.46255,18.87102
SH0055,punkt_przyjecia_0055,szkola,0224006,441,0,0,0,51.49708,16.74482
SH0056,punkt_przyjecia_0056,internat,0216002,176,0,0,1,51.42909,16.64941
SH0057,punkt_przyjecia_0057,internat,0224006,374,0,1,1,51.47052,16.72536
SH0058,punkt_przyjecia_0058,osrodek,0222002,243,1,0,1,51.1859,17.56742
SH0059,punkt_przyjecia_0059,szkola,0409001,105,1,0,1,53.18095,18.43193
SH0060,punkt_przyjecia_0060,szkola,0227008,575,0,1,0,51.39304,16.90051
SH0061,punkt_przyjecia_0061,osrodek,0227008,644,1,0,0,51.3809,16.86464
SH0062,punkt_przyjecia_0062,osrodek,0401002,193,0,0,1,52.33669,18.68834
SH0063,punkt_przyjecia_0063,osrodek,0205003,472,0,0,1,51.16095,17.37567
SH0064,punkt_przyjecia_0064,hala,0218003,496,1,0,1,51.76643,17.54527
SH0065,punkt_przyjecia_0065,szkola,0218008,613,1,1,0,51.60054,17.47645
SH0066,punkt_przyjecia_0066,osrodek,0408004,303,1,1,1,53.10738,17.20814
SH0067,punkt_przyjecia_0067,hala,0409001,307,1,1,0,53.1756,18.45116
SH0068,punkt_przyjecia_0068,szkola,0221001,108,1,0,0,50.99344,17.48578
SH0069,punkt_przyjecia_0069,osrodek,0404007,86,0,1,1,53.0813,17.26494
SH0070,punkt_przyjecia_0070,hala,0403006,141,0,0,1,52.83529,18.75839
SH0071,punkt_przyjecia_0071,osrodek,0207003,547,1,1,1,51.15688,16.568
SH0072,punkt_przyjecia_0072,hala,0401001,214,1,1,0,52.50799,18.80457
SH0073,punkt_przyjecia_0073,szkola,0222005,263,1,1,1,51.0311,17.20829
SH0074,punkt_przyjecia_0074,osrodek,0225001,552,1,1,1,51.92888,18.34882
SH0075,punkt_przyjecia_0075,szkola,0220003,629,1,1,1,51.53434,16.65899
SH0076,punkt_przyjecia_0076,osrodek,0205003,627,1,0,1,51.10268,17.42921
SH0077,punkt_przyjecia_0077,osrodek,0405002,505,1,1,1,53.19081,18.63743
SH0078,punkt_przyjecia_0078,szkola,0211001,430,1,0,1,51.59374,17.09422
SH0079,punkt_przyjecia_0079,szkola,0211001,605,0,0,1,51.60044,17.05402
SH0080,punkt_przyjecia_0080,internat,0204002,594,1,0,1,51.62278,16.0241
SH0081,punkt_przyjecia_0081,szkola,0402006,237,1,1,1,53.13962,16.85974
SH0082,punkt_przyjecia_0082,hala,0230006,106,1,1,1,50.54962,16.35731
SH0083,punkt_przyjecia_0083,internat,0206001,97,1,0,1,50.3888,16.24465
SH0084,punkt_przyjecia_0084,hala,0408002,535,0,1,1,53.52071,17.35201
SH0085,punkt_przyjecia_0085,internat,0211007,471,1,1,1,51.79045,17.27083
SH0086,punkt_przyjecia_0086,hala,0408006,249,1,0,0,53.52174,17.20034
SH0087,punkt_przyjecia_0087,hala,0407002,366,1,1,0,52.76702,16.58651
SH0088,punkt_przyjecia_0088,osrodek,0228008,354,0,0,0,51.52726,16.29358
SH0089,punkt_przyjecia_0089,osrodek,0216006,290,1,0,1,51.31398,17.03183
SH0090,punkt_przyjecia_0090,internat,0218004,86,1,1,1,51.44843,17.4609
SH0091,punkt_przyjecia_0091,hala,0205005,109,0,1,1,51.13614,17.3103
SH0092,punkt_przyjecia_0092,szkola,0210004,249,1,0,1,51.85697,16.42337
SH0093,punkt_przyjecia_0093,szkola,0214003,635,1,0,1,51.9141,18.56366
SH0094,punkt_przyjecia_0094,hala,0224004,124,0,0,1,51.29984,16.89231
SH0095,punkt_przyjecia_0095,hala,0224004,357,0,1,1,51.32172,16.87
SH0096,punkt_przyjecia_0096,szkola,0201002,326,1,1,0,51.25428,16.44297
SH0097,punkt_przyjecia_0097,szkola,0228007,466,1,0,0,51.2139,16.75241
SH0098,punkt_przyjecia_0098,szkola,0210005,551,1,1,1,52.19275,16.60163
SH0099,punkt_przyjecia_0099,szkola,0406003,130,0,0,1,53.2135,19.2414
SH0100,punkt_przyjecia_0100,osrodek,0404005,272,1,0,1,53.2855,17.38822
SH0101,punkt_przyjecia_0101,hala,0203006,602,0,1,1,51.26973,17.4198
SH0102,punkt_przyjecia_0102,internat,0212003,67,1,0,0,50.70905,16.49419
SH0103,punkt_przyjecia_0103,hala,0210001,395,1,0,1,52.10407,16.65335
SH0104,punkt_przyjecia_0104,internat,0229003,116,1,0,1,50.65807,16.23514
SH0105,punkt_przyjecia_0105,internat,0211002,296,1,0,1,51.78439,17.55048
SH0106,punkt_przyjecia_0106,internat,0402004,67,1,1,1,53.31338,16.87527
SH0107,punkt_przyjecia_0107,szkola,0209001,89,1,1,0,50.90785,16.82271
SH0108,punkt_przyjecia_0108,internat,0204005,474,1,0,1,51.62504,16.14876
SH0109,punkt_przyjecia_0109,internat,0215002,591,1,0,0,50.86854,17.16016
SH0110,punkt_przyjecia_0110,internat,0217003,221,1,1,1,51.2862,16.5075
SH0111,punkt_przyjecia_0111,szkola,0404006,181,1,0,1,53.2617,17.18877
SH0112,punkt_przyjecia_0112,szkola,0227006,555,0,0,1,51.39629,16.58908
SH0113,punkt_przyjecia_0113,internat,0203003,244,1,1,1,51.44646,17.55865
SH0114,punkt_przyjecia_0114,osrodek,0229004,306,1,0,1,50.80384,16.17082
