supplier_id,supplier_name,category,voivodeship_code,lead_time_h,contract_limit
SUP001,dostawca_ramowy_001,lacznosc,04,38,441344
SUP002,dostawca_ramowy_002,lacznosc,32,37,252117
SUP003,dostawca_ramowy_003,odbudowa,16,86,623440
SUP004,dostawca_ramowy_004,lacznosc,24,46,1134004
SUP005,dostawca_ramowy_005,energia,14,43,1945999
SUP006,dostawca_ramowy_006,lacznosc,18,88,1434405
SUP007,dostawca_ramowy_007,zywnosc,08,82,281511
SUP008,dostawca_ramowy_008,powodz,20,93,294167
SUP009,dostawca_ramowy_009,transport,04,17,60478
SUP010,dostawca_ramowy_010,lacznosc,24,32,2093752
SUP011,dostawca_ramowy_011,zywnosc,06,37,1978300
SUP012,dostawca_ramowy_012,odbudowa,22,47,264329
SUP013,dostawca_ramowy_013,transport,12,51,584718
SUP014,dostawca_ramowy_014,schronienie,10,36,1977173
SUP015,dostawca_ramowy_015,woda,24,61,561994
SUP016,dostawca_ramowy_016,zdrowie,18,72,1742810
SUP017,dostawca_ramowy_017,zywnosc,18,31,2130161
SUP018,dostawca_ramowy_018,paliwo,20,82,1511227
SUP019,dostawca_ramowy_019,zdrowie,08,36,888626
SUP020,dostawca_ramowy_020,transport,06,48,473788
SUP021,dostawca_ramowy_021,zywnosc,16,37,340193
SUP022,dostawca_ramowy_022,transport,24,24,1861715
SUP023,dostawca_ramowy_023,schronienie,26,22,1175484
SUP024,dostawca_ramowy_024,energia,18,48,120567
SUP025,dostawca_ramowy_025,woda,08,81,2459679
SUP026,dostawca_ramowy_026,transport,24,65,1679901
SUP027,dostawca_ramowy_027,powodz,26,31,2111235
SUP028,dostawca_ramowy_028,zdrowie,08,77,1098280
SUP029,dostawca_ramowy_029,energia,32,71,2388819
SUP030,dostawca_ramowy_030,energia,22,62,502814
SUP031,dostawca_ramowy_031,lacznosc,16,39,466914
SUP032,dostawca_ramowy_032,schronienie,30,39,2226385
SUP033,dostawca_ramowy_033,odbudowa,28,27,2229834
SUP034,dostawca_ramowy_034,schronienie,10,35,1250053
SUP035,dostawca_ramowy_035,powodz,04,56,318836
SUP036,dostawca_ramowy_036,odbudowa,32,27,766515
SUP037,dostawca_ramowy_037,schronienie,08,17,1886610
SUP038,dostawca_ramowy_038,energia,10,57,2115749
SUP039,dostawca_ramowy_039,transport,30,84,872398
SUP040,dostawca_ramowy_040,zdrowie,28,80,157778
SUP041,dostawca_ramowy_041,lacznosc,10,48,1665988
SUP042,dostawca_ramowy_042,transport,08,51,1850045
SUP043,dostawca_ramowy_043,paliwo,28,84,1062916
SUP044,dostawca_ramowy_044,powodz,04,35,1459828
SUP045,dostawca_ramowy_045,zdrowie,14,84,2468491
