transport_unit_id,transport_type,payload_t,avg_speed_kmh,base_warehouse_id,available_from,available
TU0001,amfibia,8,25,WH019,2026-09-15T12:00:00+02:00,1
TU0002,amfibia,8,25,WH056,2026-09-16T06:00:00+02:00,1
TU0003,naczepa_niskopodwoziowa,40,45,WH005,2026-09-16T13:00:00+02:00,1
TU0004,amfibia,8,25,WH015,2026-09-16T04:00:00+02:00,1
TU0005,bus,2,70,WH051,2026-09-15T20:00:00+02:00,1
TU0006,amfibia,8,25,WH038,2026-09-16T06:00:00+02:00,1
TU0007,amfibia,8,25,WH052,2026-09-15T21:00:00+02:00,1
TU0008,ciezarowka_24t,24,52,WH028,2026-09-16T18:00:00+02:00,1
TU0009,ciezarowka_12t,12,58,WH035,2026-09-16T00:00:00+02:00,1
TU0010,ciezarowka_24t,24,52,WH042,2026-09-15T13:00:00+02:00,1
TU0011,ciezarowka_24t,24,52,WH059,2026-09-15T21:00:00+02:00,1
TU0012,bus,2,70,WH053,2026-09-15T15:00:00+02:00,1
TU0013,ciezarowka_24t,24,52,WH005,2026-09-16T09:00:00+02:00,0
TU0014,ciezarowka_12t,12,58,WH011,2026-09-16T09:00:00+02:00,1
TU0015,bus,2,70,WH039,2026-09-15T18:00:00+02:00,1
TU0016,amfibia,8,25,WH053,2026-09-15T16:00:00+02:00,1
TU0017,smiglowiec,3,160,WH059,2026-09-16T19:00:00+02:00,1
TU0018,bus,2,70,WH029,2026-09-16T00:00:00+02:00,1
TU0019,ciezarowka_12t,12,58,WH030,2026-09-16T10:00:00+02:00,0
TU0020,amfibia,8,25,WH020,2026-09-15T11:00:00+02:00,1
TU0021,amfibia,8,25,WH026,2026-09-15T13:00:00+02:00,0
TU0022,bus,2,70,WH033,2026-09-16T19:00:00+02:00,1
TU0023,smiglowiec,3,160,WH032,2026-09-16T06:00:00+02:00,1
TU0024,naczepa_niskopodwoziowa,40,45,WH006,2026-09-16T03:00:00+02:00,1
TU0025,smiglowiec,3,160,WH003,2026-09-16T10:00:00+02:00,1
TU0026,naczepa_niskopodwoziowa,40,45,WH048,2026-09-16T13:00:00+02:00,1
TU0027,bus,2,70,WH039,2026-09-15T19:00:00+02:00,1
TU0028,bus,2,70,WH002,2026-09-15T08:00:00+02:00,1
TU0029,ciezarowka_12t,12,58,WH015,2026-09-15T12:00:00+02:00,1
TU0030,amfibia,8,25,WH054,2026-09-16T14:00:00+02:00,1
TU0031,smiglowiec,3,160,WH038,2026-09-16T15:00:00+02:00,1
TU0032,ciezarowka_12t,12,58,WH049,2026-09-15T19:00:00+02:00,1
TU0033,amfibia,8,25,WH053,2026-09-16T11:00:00+02:00,0
TU0034,bus,2,70,WH037,2026-09-16T07:00:00+02:00,1
TU0035,ciezarowka_12t,12,58,WH049,2026-09-16T19:00:00+02:00,1
TU0036,ciezarowka_24t,24,52,WH031,2026-09-16T17:00:00+02:00,1
TU0037,smiglowiec,3,160,WH042,2026-09-16T06:00:00+02:00,1
TU0038,naczepa_niskopodwoziowa,40,45,WH059,2026-09-16T18:00:00+02:00,1
TU0039,bus,2,70,WH012,2026-09-15T08:00:00+02:00,1
TU0040,smiglowiec,3,160,WH028,2026-09-15T20:00:00+02:00,1
TU0041,amfibia,8,25,WH053,2026-09-16T07:00:00+02:00,1
TU0042,naczepa_niskopodwoziowa,40,45,WH006,2026-09-16T09:00:00+02:00,1
TU0043,naczepa_niskopodwoziowa,40,45,WH023,2026-09-16T06:00:00+02:00,1
TU0044,naczepa_niskopodwoziowa,40,45,WH022,2026-09-15T09:00:00+02:00,0
TU0045,bus,2,70,WH043,2026-09-16T09:00:00+02:00,0
TU0046,ciezarowka_12t,12,58,WH055,2026-09-15T19:00:00+02:00,1
TU0047,ciezarowka_24t,24,52,WH022,2026-09-16T08:00:00+02:00,1
TU0048,naczepa_niskopodwoziowa,40,45,WH045,2026-09-16T00:00:00+02:00,0
TU0049,naczepa_niskopodwoziowa,40,45,WH019,2026-09-15T14:00:00+02:00,1
TU0050,amfibia,8,25,WH026,2026-09-16T11:00:00+02:00,1
TU0051,smiglowiec,3,160,WH003,2026-09-16T10:00:00+02:00,1
TU0052,naczepa_niskopodwoziowa,40,45,WH006,2026-09-15T11:00:00+02:00,1
TU0053,bus,2,70,WH017,2026-09-16T01:00:00+02:00,0
TU0054,bus,2,70,WH008,2026-09-15T18:00:00+02:00,1
TU0055,naczepa_niskopodwoziowa,40,45,WH056,2026-09-16T04:00:00+02:00,1
TU0056,smiglowiec,3,160,WH053,2026-09-15T17:00:00+02:00,1
TU0057,ciezarowka_12t,12,58,WH043,2026-09-16T18:00:00+02:00,0
TU0058,smiglowiec,3,160,WH030,2026-09-16T07:00:00+02:00,1
TU0059,naczepa_niskopodwoziowa,40,45,WH004,2026-09-16T02:00:00+02:00,1
TU0060,ciezarowka_24t,24,52,WH034,2026-09-15T21:00:00+02:00,1
