warehouse_id,warehouse_name,owner_type,voivodeship_code,lat,lon,area_m2,has_ramp,available_24_7
WH001,ARS_dolnoslaskie_01,ARS,02,51.1595,16.86087,9130,1,1
WH002,magazyn_wojewodzki_OC_dolnoslaskie_02,magazyn_wojewodzki_OC,02,51.06245,16.70205,11820,1,1
WH003,skladnica_PSP_dolnoslaskie_03,skladnica_PSP,02,51.5199,17.32064,6764,1,1
WH004,magazyn_WOT_opolskie_04,magazyn_WOT,16,50.85844,17.7615,8315,1,1
WH005,ARS_opolskie_05,ARS,16,51.36833,17.79222,8620,1,0
WH006,magazyn_wojewodzki_OC_dolnoslaskie_06,magazyn_wojewodzki_OC,02,51.48409,17.62384,1200,1,1
WH007,skladnica_PSP_opolskie_07,skladnica_PSP,16,50.32562,18.15347,5975,1,1
WH008,magazyn_WOT_lubuskie_08,magazyn_WOT,08,52.89575,14.58991,9374,1,0
WH009,ARS_opolskie_09,ARS,16,50.8438,18.39978,1775,1,1
WH010,magazyn_wojewodzki_OC_lubuskie_10,magazyn_wojewodzki_OC,08,52.756,15.31025,5969,1,1
WH011,skladnica_PSP_pomorskie_11,skladnica_PSP,22,53.97403,18.88502,11401,1,1
WH012,magazyn_WOT_slaskie_12,magazyn_WOT,24,50.13048,19.45242,8367,1,1
WH013,ARS_swietokrzyskie_13,ARS,26,50.9996,21.10226,880,1,1
WH014,magazyn_wojewodzki_OC_warminsko-mazurskie_14,magazyn_wojewodzki_OC,28,53.94974,20.00692,7728,1,1
WH015,skladnica_PSP_wielkopolskie_15,skladnica_PSP,30,52.11193,16.27474,10367,1,1
WH016,magazyn_WOT_zachodniopomorskie_16,magazyn_WOT,32,53.41056,14.27243,8202,1,1
WH017,ARS_dolnoslaskie_17,ARS,02,51.06474,17.27372,7899,0,1
WH018,magazyn_wojewodzki_OC_kujawsko-pomorskie_18,magazyn_wojewodzki_OC,04,53.09462,17.57753,6805,0,0
WH019,skladnica_PSP_lubelskie_19,skladnica_PSP,06,50.87414,22.57515,10910,1,1
WH020,magazyn_WOT_lubuskie_20,magazyn_WOT,08,52.52603,15.24621,1088,1,1
WH021,ARS_lodzkie_21,ARS,10,51.51489,20.44156,2432,1,1
WH022,magazyn_wojewodzki_OC_malopolskie_22,magazyn_wojewodzki_OC,12,49.89689,18.97089,11399,1,1
WH023,skladnica_PSP_mazowieckie_23,skladnica_PSP,14,52.0982,21.33328,10745,1,1
