financial_request_id,timestamp,applicant,voivodeship_code,amount_pln,purpose,status,approval_path
FIN0001,2026-09-24T00:00:00+02:00,starosta,16,3451816,odtworzenie_sil_i_srodkow,RZZK_opinion,wojewoda>minister_wiodacy>RZZK>MF
FIN0002,2026-09-18T11:00:00+02:00,wojewoda,16,7585699,zakup_wody_i_zywnosci,submitted,wojewoda>minister_wiodacy>RZZK>MF
FIN0003,2026-09-18T06:00:00+02:00,starosta,24,1244385,zakup_paliwa,RZZK_opinion,wojewoda>minister_wiodacy>RZZK>MF
FIN0004,2026-09-15T08:00:00+02:00,minister_wiodacy,24,6591201,transport_rezerw,paid,wojewoda>minister_wiodacy>RZZK>MF
FIN0005,2026-09-15T15:00:00+02:00,minister_wiodacy,08,894569,zakup_wody_i_zywnosci,RZZK_opinion,wojewoda>minister_wiodacy>RZZK>MF
FIN0006,2026-09-19T15:00:00+02:00,wojewoda,16,1620856,zakwaterowanie_ewakuowanych,draft,wojewoda>minister_wiodacy>RZZK>MF
FIN0007,2026-09-22T19:00:00+02:00,minister_wiodacy,24,5658126,zakup_wody_i_zywnosci,wojewoda_approved,wojewoda>minister_wiodacy>RZZK>MF
FIN0008,2026-09-16T05:00:00+02:00,minister_wiodacy,02,6858600,transport_rezerw,MF_approved,wojewoda>minister_wiodacy>RZZK>MF
FIN0009,2026-09-16T11:00:00+02:00,starosta,08,6680561,zakwaterowanie_ewakuowanych,submitted,wojewoda>minister_wiodacy>RZZK>MF
FIN0010,2026-09-19T04:00:00+02:00,starosta,02,6855602,zakup_wody_i_zywnosci,draft,wojewoda>minister_wiodacy>RZZK>MF
FIN0011,2026-09-22T21:00:00+02:00,minister_wiodacy,02,2685117,transport_rezerw,RZZK_opinion,wojewoda>minister_wiodacy>RZZK>MF
FIN0012,2026-09-16T08:00:00+02:00,minister_wiodacy,30,7926344,zakup_wody_i_zywnosci,minister_review,wojewoda>minister_wiodacy>RZZK>MF
FIN0013,2026-09-21T12:00:00+02:00,minister_wiodacy,24,1076828,zakup_wody_i_zywnosci,MF_approved,wojewoda>minister_wiodacy>RZZK>MF
FIN0014,2026-09-18T20:00:00+02:00,minister_wiodacy,02,4080042,odtworzenie_sil_i_srodkow,wojewoda_approved,wojewoda>minister_wiodacy>RZZK>MF
FIN0015,2026-09-17T15:00:00+02:00,starosta,02,2122630,zakwaterowanie_ewakuowanych,paid,wojewoda>minister_wiodacy>RZZK>MF
FIN0016,2026-09-25T03:00:00+02:00,wojewoda,30,7275201,transport_rezerw,draft,wojewoda>minister_wiodacy>RZZK>MF
FIN0017,2026-09-23T20:00:00+02:00,wojewoda,08,1244918,transport_rezerw,MF_approved,wojewoda>minister_wiodacy>RZZK>MF
FIN0018,2026-09-17T07:00:00+02:00,starosta,16,128801,transport_rezerw,draft,wojewoda>minister_wiodacy>RZZK>MF
FIN0019,2026-09-19T17:00:00+02:00,starosta,08,4696741,zakup_paliwa,MF_approved,wojewoda>minister_wiodacy>RZZK>MF
FIN0020,2026-09-18T01:00:00+02:00,minister_wiodacy,24,3303098,zakup_paliwa,wojewoda_approved,wojewoda>minister_wiodacy>RZZK>MF
FIN0021,2026-09-20T05:00:00+02:00,minister_wiodacy,30,2694652,zakwaterowanie_ewakuowanych,submitted,wojewoda>minister_wiodacy>RZZK>MF
FIN0022,2026-09-17T13:00:00+02:00,wojewoda,02,1123520,odtworzenie_sil_i_srodkow,RZZK_opinion,wojewoda>minister_wiodacy>RZZK>MF
FIN0023,2026-09-15T20:00:00+02:00,starosta,24,2127527,transport_rezerw,paid,wojewoda>minister_wiodacy>RZZK>MF
