warehouse_id,resource_type_id,available_qty,reserved_qty,in_transit_qty,expiry_date
WH001,R01,158,18,7,
WH001,R02,55,6,3,
WH001,R03,90,9,0,
WH001,R04,120,16,1,
WH001,R05,167,17,7,2027-07-15
WH001,R06,2495,392,69,2027-10-13
WH001,R07,35,6,1,
WH001,R08,102,15,4,
WH001,R09,2032,237,35,
WH001,R10,105,6,1,
WH001,R11,11,0,0,
WH001,R12,148,23,6,
WH001,R13,80,2,1,
WH001,R14,128,15,9,
WH001,R15,179,13,10,
WH001,R16,2204,388,3,
WH001,R17,190,16,12,2028-02-12
WH001,R18,95,10,2,
WH001,R19,109,16,2,
WH001,R20,78,8,4,
WH002,R01,100,10,5,
WH002,R02,147,18,7,
WH002,R03,99,13,6,
WH002,R04,107,6,5,
WH002,R05,2069,130,131,2026-11-23
WH002,R06,1299,136,102,2027-09-06
WH002,R07,53,1,0,
WH002,R08,20,2,1,
WH002,R09,1320,90,55,
WH002,R10,113,3,6,
WH002,R11,100,3,6,
WH002,R12,122,17,3,
WH002,R13,30,3,0,
WH002,R14,125,7,6,
WH002,R15,166,19,7,
WH002,R16,3968,381,17,
WH002,R17,128,11,9,2027-10-07
WH002,R18,156,26,1,
WH002,R19,126,14,2,
WH002,R20,102,6,6,
WH003,R01,100,12,2,
WH003,R02,132,13,0,
WH003,R03,40,4,0,
WH003,R04,34,5,1,
WH003,R05,1192,38,69,2028-02-21
WH003,R06,919,85,19,2027-01-18
WH003,R07,187,19,1,
WH003,R08,122,18,4,
WH003,R09,3696,113,185,
WH003,R10,124,12,2,
WH003,R11,62,11,1,
WH003,R12,53,8,1,
WH003,R13,176,13,5,
WH003,R14,11,1,0,
WH003,R15,190,6,12,
WH003,R16,1598,59,35,
WH003,R17,107,17,6,2027-06-14
WH003,R18,63,5,3,
WH003,R19,46,5,0,
WH003,R20,176,21,13,
WH004,R01,75,9,0,
WH004,R02,100,6,6,
WH004,R03,126,11,2,
WH004,R04,62,4,1,
WH004,R05,1392,201,92,2027-08-03
WH004,R06,880,35,34,2027-05-31
WH004,R07,81,4,5,
WH004,R08,39,1,2,
WH004,R09,4433,306,225,
WH004,R10,116,5,0,
WH004,R11,56,7,1,
WH004,R12,173,16,13,
WH004,R13,118,19,8,
WH004,R14,82,6,4,
WH004,R15,142,20,4,
WH004,R16,2725,151,134,
WH004,R17,18,2,1,2027-04-09
WH004,R18,106,4,0,
WH004,R19,98,11,6,
WH004,R20,139,7,4,
WH005,R01,90,5,0,
WH005,R02,161,20,7,
WH005,R03,84,13,5,
WH005,R04,167,5,6,
WH005,R05,1633,155,125,2028-01-16
WH005,R06,1175,125,65,2026-12-09
WH005,R07,165,13,9,
WH005,R08,20,1,0,
WH005,R09,862,126,35,
WH005,R10,76,12,2,
WH005,R11,167,9,10,
WH005,R12,121,18,5,
WH005,R13,50,4,2,
WH005,R14,100,16,1,
WH005,R15,97,16,0,
WH005,R16,864,145,27,
WH005,R17,101,15,6,2026-11-21
WH005,R18,84,9,5,
WH005,R19,65,3,3,
WH005,R20,55,3,3,
WH006,R01,89,7,6,
WH006,R02,94,10,3,
WH006,R03,113,10,7,
WH006,R04,111,16,3,
WH006,R05,1202,51,74,2027-02-25
WH006,R06,2879,306,108,2027-01-11
WH006,R07,89,11,4,
WH006,R08,34,1,1,
WH006,R09,3927,593,193,
WH006,R10,22,2,1,
